nn';trial 1;trial 2;trial 3;trial 4;trial 5;trial 6;trial 7;trial 8;trial 9;trial 10
16';0.771;0.715;0.785;0.769;0.713;0.815;0.706;0.792;0.804;0.731
32';0.788;0.767;0.790;0.757;0.739;0.765;0.754;0.808;0.786;0.741
64';0.777;0.722;0.753;0.752;0.729;0.802;0.759;0.756;0.748;0.775
128';0.785;0.778;0.772;0.777;0.759;0.712;0.769;0.737;0.795;0.772
16, 8';0.802;0.821;0.818;0.767;0.781;0.864;0.798;0.824;0.743;0.795
16, 32';0.803;0.826;0.783;0.789;0.855;0.807;0.827;0.812;0.821;0.790
16, 64';0.800;0.801;0.817;0.796;0.781;0.819;0.788;0.805;0.755;0.813
32, 8';0.829;0.813;0.882;0.786;0.781;0.951;0.784;0.854;0.837;0.876
32, 16';0.830;0.757;0.797;0.799;0.806;0.809;0.820;0.853;0.807;0.779
32, 64';0.856;0.812;0.826;0.791;0.830;0.847;0.780;0.847;0.834;0.793
64, 8';0.837;0.815;0.817;0.801;0.816;0.842;0.856;0.838;0.847;0.789
64, 16';0.830;0.850;0.870;0.781;0.799;0.801;0.800;0.800;0.804;0.762
64, 32';0.791;0.790;0.817;0.840;0.807;0.843;0.828;0.830;0.826;0.821
128, 8';0.841;0.836;0.790;0.768;0.810;0.836;0.813;0.814;0.841;0.847
128, 16';0.841;0.842;0.867;0.928;0.778;0.828;0.843;0.817;0.824;0.790
128, 32';0.815;0.824;0.789;0.814;0.844;0.786;0.848;0.846;0.809;0.812
128, 64';0.754;0.806;0.851;0.830;0.763;0.833;0.826;0.830;0.853;0.774
16, 8, 4';0.863;0.800;0.816;0.820;0.811;0.834;0.815;0.868;0.883;1.115
32, 16, 8';0.878;0.846;0.806;0.802;0.788;0.845;0.848;0.854;0.826;0.867
64, 32, 8';0.872;0.806;0.849;0.811;0.796;0.787;0.818;0.822;0.843;0.844
64, 16, 4';0.880;0.875;0.828;0.848;0.770;0.862;0.848;0.745;0.847;0.862
64, 16, 8';0.873;0.863;0.904;0.803;0.902;0.848;0.867;0.882;0.879;0.925
128, 64, 16';0.841;0.790;0.873;0.856;0.826;0.804;0.794;0.901;0.860;0.859
256, 128';0.779;0.786;0.862;0.802;0.788;0.818;0.764;0.793;0.847;0.800
256, 64';0.813;0.816;0.797;0.849;0.804;0.875;0.838;0.776;0.877;0.828
256, 128, 64';0.862;0.828;0.819;0.826;0.823;0.909;0.875;0.865;0.848;0.860